Date,AD.AS,AIR.PA,ALV.DE,ASML.AS,BAS.DE,BBVA.MC,BNP.PA,ENEL.MI,ENI.MI,IBE.MC,INGA.AS,ISP.MI,ITX.MC,MC.PA,NESN.SW,NOVN.SW,PHIA.AS,ROG.SW,SAN.MC,SAN.PA,SAP.DE,SIE.DE,UBSG.SW,UCG.MI
2010-02-28,,,,,,,,,,,,,,,,,,,,,,,,
2010-03-31,,,,,,,,,,,,,,,,,,,,,,,,
2010-04-30,,,,,,,,,,,,,,,,,,,,,,,,
2010-05-31,,,,,,,,,,,,,,,,,,,,,,,,
2010-06-30,,,,,,,,,,,,,,,,,,,,,,,,
2010-07-31,,,,,,,,,,,,,,,,,,,,,,,,
2010-08-31,,,,,,,,,,,,,,,,,,,,,,,,
2010-09-30,,,,,,,,,,,,,,,,,,,,,,,,
2010-10-31,,,,,,,,,,,,,,,,,,,,,,,,
2010-11-30,,,,,,,,,,,,,,,,,,,,,,,,
2010-12-31,,,,,,,,,,,,,,,,,,,,,,,,
2011-01-31,10.0,6.0,8.0,4.0,2.0,24.0,18.0,15.0,14.0,17.0,13.0,23.0,5.0,1.0,9.0,16.0,12.0,21.0,20.0,19.0,7.0,3.0,11.0,22.0
2011-02-28,13.0,4.0,9.0,5.0,3.0,17.0,16.0,14.0,11.0,12.0,8.0,21.0,7.0,2.0,20.0,23.0,15.0,24.0,18.0,22.0,6.0,1.0,10.0,19.0
2011-03-31,15.0,1.0,8.0,7.0,2.0,20.0,14.0,9.0,10.0,13.0,6.0,22.0,11.0,4.0,16.0,19.0,17.0,24.0,18.0,21.0,5.0,3.0,12.0,23.0
2011-04-30,20.0,1.0,9.0,6.0,2.0,19.0,13.0,10.0,11.0,12.0,4.0,23.0,7.0,5.0,15.0,17.0,22.0,24.0,18.0,14.0,8.0,3.0,16.0,21.0
2011-05-31,22.0,8.0,7.0,12.0,1.0,15.0,13.0,3.0,9.0,11.0,4.0,19.0,6.0,2.0,18.0,20.0,24.0,23.0,16.0,17.0,10.0,5.0,14.0,21.0
2011-06-30,21.0,7.0,10.0,11.0,1.0,19.0,9.0,2.0,13.0,5.0,6.0,22.0,3.0,4.0,17.0,16.0,24.0,18.0,20.0,14.0,12.0,8.0,15.0,23.0
2011-07-31,18.0,5.0,12.0,15.0,1.0,21.0,16.0,6.0,11.0,9.0,10.0,22.0,7.0,2.0,17.0,14.0,23.0,13.0,19.0,4.0,8.0,3.0,20.0,24.0
2011-08-31,16.0,3.0,9.0,5.0,1.0,20.0,17.0,10.0,13.0,14.0,12.0,21.0,8.0,2.0,15.0,18.0,22.0,11.0,19.0,7.0,6.0,4.0,23.0,24.0
2011-09-30,16.0,1.0,14.0,2.0,4.0,20.0,19.0,13.0,12.0,11.0,17.0,23.0,8.0,3.0,9.0,15.0,22.0,5.0,18.0,6.0,7.0,10.0,21.0,24.0
2011-10-31,9.0,1.0,16.0,2.0,10.0,18.0,22.0,13.0,12.0,14.0,19.0,23.0,3.0,11.0,7.0,8.0,20.0,4.0,17.0,6.0,5.0,15.0,21.0,24.0
2011-11-30,9.0,1.0,11.0,3.0,16.0,12.0,21.0,13.0,6.0,10.0,19.0,23.0,5.0,8.0,15.0,14.0,20.0,7.0,18.0,4.0,2.0,17.0,22.0,24.0
2011-12-31,8.0,1.0,14.0,7.0,12.0,15.0,23.0,13.0,6.0,16.0,18.0,22.0,3.0,10.0,9.0,11.0,21.0,5.0,19.0,4.0,2.0,17.0,20.0,24.0
2012-01-31,6.0,4.0,17.0,7.0,10.0,15.0,23.0,13.0,9.0,16.0,20.0,22.0,2.0,12.0,5.0,8.0,18.0,3.0,19.0,1.0,11.0,14.0,21.0,24.0
2012-02-29,6.0,2.0,13.0,8.0,11.0,14.0,23.0,15.0,10.0,18.0,17.0,22.0,1.0,5.0,9.0,12.0,21.0,4.0,19.0,3.0,7.0,16.0,20.0,24.0
2012-03-31,7.0,1.0,13.0,8.0,9.0,14.0,21.0,22.0,11.0,19.0,20.0,17.0,2.0,6.0,10.0,12.0,23.0,3.0,15.0,5.0,4.0,16.0,18.0,24.0
2012-04-30,7.0,1.0,13.0,2.0,12.0,18.0,21.0,23.0,10.0,19.0,20.0,22.0,4.0,8.0,9.0,11.0,15.0,5.0,17.0,6.0,3.0,14.0,16.0,24.0
2012-05-31,11.0,2.0,13.0,1.0,10.0,17.0,22.0,23.0,9.0,21.0,18.0,19.0,5.0,6.0,7.0,12.0,15.0,4.0,20.0,8.0,3.0,14.0,16.0,24.0
2012-06-30,7.0,2.0,14.0,1.0,12.0,17.0,23.0,21.0,10.0,22.0,19.0,20.0,5.0,11.0,6.0,9.0,13.0,4.0,18.0,8.0,3.0,15.0,16.0,24.0
2012-07-31,9.0,5.0,13.0,1.0,14.0,16.0,21.0,22.0,4.0,23.0,20.0,19.0,2.0,11.0,6.0,8.0,12.0,3.0,17.0,7.0,10.0,18.0,15.0,24.0
2012-08-31,10.0,5.0,13.0,1.0,12.0,17.0,19.0,22.0,6.0,23.0,20.0,16.0,2.0,14.0,11.0,7.0,9.0,8.0,21.0,4.0,3.0,15.0,18.0,24.0
2012-09-30,15.0,2.0,10.0,1.0,6.0,19.0,13.0,22.0,8.0,23.0,17.0,18.0,4.0,9.0,12.0,14.0,3.0,11.0,20.0,7.0,5.0,16.0,21.0,24.0
2012-10-31,14.0,12.0,10.0,2.0,5.0,19.0,11.0,22.0,13.0,23.0,20.0,21.0,1.0,18.0,9.0,8.0,7.0,6.0,16.0,3.0,4.0,15.0,17.0,24.0
2012-11-30,20.0,10.0,6.0,2.0,11.0,17.0,3.0,22.0,12.0,23.0,15.0,21.0,1.0,18.0,14.0,13.0,5.0,8.0,16.0,4.0,7.0,19.0,9.0,24.0
2012-12-31,22.0,18.0,4.0,14.0,5.0,19.0,3.0,21.0,11.0,23.0,10.0,20.0,1.0,9.0,13.0,16.0,7.0,12.0,15.0,8.0,2.0,17.0,6.0,24.0
2013-01-31,20.0,11.0,5.0,16.0,7.0,18.0,2.0,19.0,12.0,22.0,21.0,24.0,1.0,14.0,10.0,9.0,3.0,8.0,17.0,6.0,4.0,15.0,13.0,23.0
2013-02-28,22.0,6.0,10.0,9.0,14.0,15.0,5.0,16.0,17.0,24.0,21.0,23.0,2.0,19.0,13.0,8.0,1.0,4.0,20.0,3.0,11.0,18.0,7.0,12.0
2013-03-31,16.0,7.0,9.0,15.0,13.0,4.0,8.0,18.0,19.0,24.0,22.0,23.0,2.0,20.0,10.0,5.0,1.0,3.0,14.0,6.0,12.0,17.0,11.0,21.0
2013-04-30,13.0,8.0,9.0,22.0,19.0,5.0,6.0,20.0,17.0,16.0,24.0,23.0,2.0,21.0,14.0,4.0,1.0,7.0,15.0,3.0,11.0,12.0,10.0,18.0
